As Of Date,Currency,Universe Name,Classification,,,,,,
ACRISU 8 ¼ 02/01/29,ACRISURE LLC,-14.15432231,104.4907765,6.742795655,6.19601942,1.010230685,188.6152113,Corporate,0.105462408
ACRISU 8 ½ 06/15/29,ACRISURE LLC,-7.893706586,105.2733988,6.880398941,6.38195582,1.399870304,214.2103731,Corporate,0.123768533
ADAHEA 4 ⅝ 08/01/29,ADAPTHEALTH LLC,-7.064572206,95.13882687,6.043768432,6.043768432,3.049500774,238.2633262,Corporate,0.144130772
ADAHEA 5 ⅛ 03/01/30,ADAPTHEALTH LLC,-8.524022356,95.57986814,6.272670757,6.272670757,3.255189462,250.4307917,Corporate,0.182413218
ADNT 7 04/15/28,ADIENT GLOBAL HO,-6.911768382,102.7065749,5.858111368,5.2073812,0.861139047,109.2775672,Corporate,0.067216734
ADNT 7 ½ 02/15/33,ADIENT GLOBAL HO,-11.77370821,104.2257898,6.76575546,6.3879889,3.808166519,219.0197416,Corporate,0.397236364
ADNT 8 ¼ 04/15/31,ADIENT GLOBAL HO,-7.36497063,105.0569291,7.135809313,6.11070276,1.226430772,152.561933,Corporate,0.237597115
ADT 4 ⅛ 08/01/29,ADT SEC CORP,-14.21422836,96.97068981,4.989843199,4.989843199,3.278441851,135.161673,Corporate,0.147508763
ADVGRO 6 ¼ 03/01/28,AG ISSUER LLC,-7.601121993,99.97007411,6.262232707,6.262232707,0.985409742,163.5120444,Corporate,0.063796317
ADVGRO 6 ¾ 08/01/32,OSAIC HOLDINGS,-2.824266116,102.691728,6.26152615,6.10316122,4.203559801,204.6005079,Corporate,0.362316287
ADVGRO 8 08/01/33,OSAIC HOLDINGS,-2.939737187,102.5124024,7.569184812,7.3758337,4.364003303,313.5874576,Corporate,0.421531748
ADVGRO 8 ⅝ 09/30/27,AG TTMT ESCROW,-6.709476958,102.3399247,5.00533202,5.00533202,0.054408563,93.41168786,Corporate,0.000288068
AES 4.35 04/15/29,DPL INC,-6.025332568,98.45664766,4.821211869,4.821211869,3.146779553,124.4704563,Corporate,0.126219341
AES 6.95 07/15/55,AES CORP/THE,-7.716593064,97.24585232,6.861981163,6.861981163,3.726802189,328.1295216,Corporate,0.195183457
AES 7.6 01/15/55,AES CORP/THE,-13.81919575,102.9295274,6.809677273,6.76892997,3.571347107,302.5326214,Corporate,0.162029593
AETUNI 7 ½ 10/01/29,AET UNI/AET FIN,-13.86086952,104.3500052,6.267719919,5.92201562,1.913699503,190.9125062,Corporate,0.142508015
AGKLN 7 05/21/30,ALBION FINANCING,-20.551246,104.0374728,6.002993497,5.7743714,2.715702865,185.7180347,Corporate,0.187214168
ALIANT 4 ¼ 10/15/27,ALLIANT HOLDINGS,-10.47400751,98.76912239,4.872483276,4.872483276,1.456925758,113.6403823,Corporate,0.048722182
ALIANT 5 ⅞ 11/01/29,ALLIANT HOLDINGS,-6.861412577,99.77799637,5.933835416,5.933835416,1.840740786,162.4123036,Corporate,0.154524721
ALIANT 6 ½ 10/01/31,ALLIANT HOLDINGS,-15.22568548,102.2525859,6.049364128,5.86682359,3.584643362,187.5473988,Corporate,0.289426873
ALIANT 6 ¾ 04/15/28,ALLIANT HOLDINGS,-19.29235086,102.225948,5.811088282,5.2739962,1.036587173,128.9703462,Corporate,0.067506302
ALIANT 6 ¾ 10/15/27,ALLIANT HOLDINGS,-16.38994643,100.2712855,6.604891513,3.28412153,0.077155077,-78.82879688,Corporate,0.046277557
ALIANT 7 01/15/31,ALLIANT HOLDINGS,-21.73113461,103.2156359,6.280157666,5.92321163,2.646016762,187.3822961,Corporate,0.234698804
ALIANT 7 ⅜ 10/01/32,ALLIANT HOLDINGS,-10.53044074,103.3281294,6.772891142,6.42855495,3.493095031,223.6080613,Corporate,0.357497323
ALLY 6.646 01/17/40,ALLY FINANCIAL,-7.099300347,100.0437088,6.493229074,6.493229074,6.83949172,258.7338384,Corporate,0.587895586
ALLY 6.7 02/14/33,ALLY FINANCIAL,-7.200011958,105.0336282,5.853638939,5.83257399,5.770755119,197.4025941,Corporate,0.414694299
ALPGEN 6 ¾ 10/15/32,ALPHA GENERATION,-13.97286777,103.1830025,6.187635532,5.86268707,3.549261222,168.6124073,Corporate,0.373534446
ALSN 3 ¾ 01/30/31,ALLISON TRANS,-13.86607874,93.19671613,5.213485021,5.213485021,4.393467728,147.6963338,Corporate,0.264486046
ALSN 4 ¾ 10/01/27,ALLISON TRANS,-5.088540948,99.63103708,4.939173937,4.939173937,0.858152638,87.65628813,Corporate,0.046750512
ALSN 5 ⅞ 06/01/29,ALLISON TRANS,-7.292041533,101.1577605,5.523882061,5.15923065,1.347996039,102.5434374,Corporate,0.129770647
ALTICE 5 01/15/28,ALTICE FINANCING,-16.14771764,81.21192117,14.74876159,14.74876159,2.057739188,1119.03376,Corporate,0.053566662
ALTICE 5 ¾ 08/15/29,ALTICE FINANCING,-27.3458069,79.52938381,12.49588455,12.49588455,3.296632927,892.1994461,Corporate,0.13240825
AM 5 ¾ 01/15/28,ANTERO MIDSTREAM,-7.878078923,100.3480764,5.585852553,4.69001469,0.435531129,60.50134484,Corporate,0.058423471
AM 5 ¾ 03/01/27,ANTERO MIDSTREAM,-5.564316488,100.0035813,5.642513183,5.642513183,0.416701394,136.3234768,Corporate,0.00018185
AM 5 ¾ 10/15/33,ANTERO MIDSTREAM,-3.372970753,100.0091262,5.747673805,5.74657996,5.050201294,149.0941297,Corporate,0.493277277
AM 5 ⅜ 06/15/29,ANTERO MIDSTREAM,-10.62507492,99.64376812,5.478330596,5.478330596,1.556495054,118.5309542,Corporate,0.133805174
AM 6 ⅝ 02/01/32,ANTERO MIDSTREAM,-8.366877516,103.6921935,5.921187468,5.39078887,2.713776089,119.7440566,Corporate,0.322948872
AMCX 10 ¼ 01/15/29,AMC NETWORKS INC,-12.94404658,104.2929849,8.735076033,8.19208353,1.465915101,410.5289603,Corporate,0.097035975
AMCX 10 ½ 07/15/32,AMC NETWORKS INC,-5.710174683,104.2513598,9.630174979,9.37892035,3.740312777,526.9276865,Corporate,0.299094057
AMNTEC 7 ¼ 08/01/32,AMENTUM HOLDINGS,-14.17950022,104.0952571,6.501492719,6.05049783,3.278089672,186.0481839,Corporate,0.355304593
AMPBEV 3 ¼ 09/01/28,ARDAGH METAL PAC,-8.811397728,95.13753357,5.030051818,5.030051818,2.616044983,147.5395681,Corporate,0.092131253
AMPBEV 4 09/01/29,ARDAGH METAL PAC,-14.75598737,92.27570789,6.223023236,6.223023236,3.404061045,263.1599225,Corporate,0.149956681
AMPBEV 6 06/15/27,ARDAGH METAL PAC,-10.01906885,100.2768839,5.826059126,5.6106335,0.934541653,162.671595,Corporate,0.035339448
AMWINS 4 ⅞ 06/30/29,AMWINS GROUP INC,-11.34134284,97.65047378,5.566266915,5.566266915,2.417115736,172.0061555,Corporate,0.138002067
AMWINS 6 ⅜ 02/15/29,AMWINS GROUP INC,-10.46272086,102.5908649,5.533765039,5.22392445,1.657670605,131.6572803,Corporate,0.112758643
ANGINC 7 12/01/55,AMERICAN NATL GR,-7.049812745,102.6815712,6.656164664,6.39020111,4.328011429,274.0007013,Corporate,0.226938731
APLP 6 ¼ 04/01/28,ARCHROCK LP/FIN,-12.1887095,100.1838834,6.169097604,5.90168415,0.872401246,162.6480901,Corporate,0.065867359
APLP 6 ⅝ 09/01/32,ARCHROCK LP/FIN,-10.70408145,102.3412777,6.205928806,5.95420773,3.686317572,177.2204419,Corporate,0.373412419
APTV 6 ⅞ 12/15/54,APTIV SWISS HOLD,-7.018557418,101.3134687,6.854451975,6.49711123,3.516852435,288.2716773,Corporate,0.158904823
APU 5 ¾ 05/20/27,AMERIGAS PARTNER,-7.375389073,99.88838753,5.813962983,5.813962983,1.438566875,210.9640005,Corporate,0.032946988
APU 9 ½ 06/01/30,AMERIGAS PARTNER,-7.700097197,104.7343846,8.263095927,7.99782245,2.704257908,405.6602091,Corporate,0.173226928
APU 9 ⅜ 06/01/28,AMERIGAS PARTNER,-7.050680949,103.2418032,8.017578916,7.32714534,1.165357681,324.9228585,Corporate,0.069473049
ARDGRP 7 ¾ 02/15/31,ARDONAGH FINCO,-19.19945309,104.9232623,6.653336603,6.13484408,2.431292108,200.8705224,Corporate,0.235133618
ARDGRP 8 ⅞ 02/15/32,ARDONAGH GROUP,-22.40399235,105.8893396,7.694688571,6.91467919,2.452224476,260.0816405,Corporate,0.295566531
ARGID 4 ⅛ 08/15/26,ARDAGH PKG FIN,-15.29166895,88.56333076,17.91377799,17.91377799,0.839046261,1416.163506,Corporate,0.010960774
ARGID 5 ¼ 08/15/27,ARDAGH PKG FIN,-13.23142195,41.2185952,60.83111204,60.83111204,1.34523721,5726.37671,Corporate,0.024560702
ARGID 5 ¼ 08/15/27,ARDAGH PKG FIN,-10.2508792,41.1477897,60.95387904,60.95387904,1.344443562,5738.654556,Corporate,0.024534099
ARMK 5 02/01/28,ARAMARK SERV INC,-15.5729669,99.47387281,5.234441311,5.234441311,1.143423197,118.4389496,Corporate,0.061383332
ARNC 11 ½ 10/01/31,ARSENAL AIC PARE,-7.744375577,111.3946457,9.015104694,5.60223679,1.117486183,168.6844437,Corporate,0.239327278
ARNC 8 10/01/30,ARSENAL AIC PARE,-10.5946878,106.510355,6.468838302,5.31156764,1.464122155,113.6281867,Corporate,0.203900544
ASCRES 5 ⅞ 06/30/29,ASCENT RESOUR/AR,-5.843009825,100.0379366,5.865406749,5.83227305,1.590284969,147.9016099,Corporate,0.135931283
ASCRES 6 ⅝ 07/15/33,ASCENT RESOUR/AR,-7.325033268,101.8519558,6.317756294,6.1709252,4.508547635,195.4940789,Corporate,0.444787023
ASCRES 6 ⅝ 10/15/32,ASCENT RESOUR/AR,-8.814870542,101.9513725,6.278610762,6.0776355,3.783100978,188.3969942,Corporate,0.374348156
ASHWOO 4 ⅝ 04/01/30,ASHTON WOODS USA,-6.147749267,94.70038153,5.969226806,5.969226806,3.459621446,225.1572265,Corporate,0.187452808
ASHWOO 6 ⅞ 08/01/33,ASHTON WOODS USA,-6.740732285,100.4882181,6.792204739,6.75343208,4.666465814,248.972648,Corporate,0.444695356
ASTONM 10 03/31/29,ASTON MARTIN,-14.83325748,98.187352,10.62070745,10.62070745,2.451673614,679.1869878,Corporate,0.102953076
ATHENA 6 ½ 02/15/30,MINERVA MERGER,-34.07959356,99.26669059,6.692309005,6.692309005,2.255562097,246.8267782,Corporate,0.172401743
ATI 7 ¼ 08/15/30,ATI INC,-5.320351294,105.3118002,5.988370174,5.17616986,1.48120842,87.79050252,Corporate,0.205562367
AVNT 6 ¼ 11/01/31,AVIENT CORP,-9.396566914,102.162197,5.824395355,5.63989763,3.507744819,159.1742796,Corporate,0.301204568
AVNT 7 ⅛ 08/01/30,AVIENT CORP,-10.23611974,103.2382745,6.342380885,5.29891094,1.076615061,101.1121876,Corporate,0.20186036
AVTR 3 ⅞ 11/01/29,AVANTOR FUNDING,-11.24844507,95.19970093,5.176210113,5.176210113,3.262985847,150.5368568,Corporate,0.163676161
AVTR 4 ⅝ 07/15/28,AVANTOR FUNDING,-23.72973916,98.41003389,5.230882207,5.230882207,1.80875196,142.7127134,Corporate,0.083535505
AXL 5 10/01/29,AMER AXLE & MFG,-8.998061489,94.85968558,6.45891756,6.45891756,3.078428157,277.6504657,Corporate,0.150450184
AXL 6 ½ 04/01/27,AMER AXLE & MFG,-6.279716205,100.2423406,6.330660183,3.44045191,0.078584268,-67.62972054,Corporate,0.027988255
AXL 6 ⅞ 07/01/28,AMER AXLE & MFG,-5.035580532,99.81868417,6.941661165,6.941661165,0.52090504,215.4380912,Corporate,0.077218279
AXON 6 ¼ 03/15/33,AXON ENTERPRISE,-10.50960385,103.9408995,5.600050623,5.25758484,3.848901783,108.4373067,Corporate,0.420388687
AXON 6 ⅛ 03/15/30,AXON ENTERPRISE,-13.3903032,103.1326795,5.334622973,5.13885249,2.574232338,124.2889848,Corporate,0.178371433
AXTA 3 ⅜ 02/15/29,AXALTA COATING,-9.834141498,94.85784357,5.024731995,5.024731995,2.961856116,143.5341568,Corporate,0.11961772
AXTA 4 ¾ 06/15/27,AXALTA COAT/BV,-4.207314355,99.74150587,4.900471627,4.900471627,0.728774175,84.85539283,Corporate,0.036117826
AXTA 7 ¼ 02/15/31,AXALTA COATING S,-7.395357754,105.1720256,6.115748575,5.45285678,1.931620393,118.7309323,Corporate,0.237587077
AY 4 ⅛ 06/15/28,ATLANTIC SUSTAIN,-5.426272125,97.07061265,5.275282645,5.275282645,2.329532333,167.856771,Corporate,0.079584523
AY 6 ⅜ 02/15/32,CA BUYER/ATLANTI,-10.46185266,102.1642663,5.963797963,5.78571829,3.774329094,171.3576203,Corporate,0.329044487
AZORRA 7 ¼ 01/15/31,AZORRA FINANCE,-7.885024551,104.7452747,6.190246816,5.84991454,2.851065191,183.2386429,Corporate,0.233043964
AZORRA 7 ¾ 04/15/30,AZORRA FINANCE,-6.013177718,105.2919285,6.400600031,5.90716245,1.728881366,174.0752702,Corporate,0.175262633
B 0 10/02/25,TREASURY BILL,106401.1752,99.75039781,4.151489452,4.151489452,0.060107786,-0.889233949,Treasury,0.000589138
B 0 10/07/25,TREASURY BILL,55154.53623,99.69319431,4.160322508,4.160322508,0.073724842,-0.110253107,Treasury,0.00073225
B 0 10/09/25,TREASURY BILL,89363.79692,99.67131828,4.150498059,4.150498059,0.079176645,-1.158200982,Treasury,0.000790652
B 0 10/14/25,TREASURY BILL,55173.1877,99.61496023,4.149492373,4.149492373,0.092728847,0.889890746,Treasury,0.000938754
B 0 10/16/25,TREASURY BILL,57084.35342,99.59204353,4.153168439,4.153168439,0.098147821,1.947227962,Treasury,0.000998886
B 0 10/21/25,TREASURY BILL,55132.70355,99.53467878,4.161859802,4.161859802,0.111694791,4.22692137,Treasury,0.001151614
B 0 10/23/25,TREASURY BILL,57124.22748,99.51184964,4.16392812,4.16392812,0.117114119,4.896705745,Treasury,0.001213691
B 0 10/28/25,TREASURY BILL,23955.24388,99.45801785,4.143781149,4.143781149,0.130678524,3.814897236,Treasury,0.001371952
B 0 10/30/25,TREASURY BILL,75306.51413,99.43822293,4.124141085,4.124141085,0.136112925,2.146590321,Treasury,0.001436579
B 0 11/04/25,TREASURY BILL,24645.8059,99.37896043,4.147200173,4.147200173,0.149649984,5.181720847,Treasury,0.001598568
B 0 11/06/25,TREASURY BILL,56705.20126,99.36230329,4.109703923,4.109703923,0.155099984,1.616482937,Treasury,0.001665785
B 0 11/12/25,TREASURY BILL,24644.82539,99.30611788,4.048200434,4.048200434,0.171361649,-3.366323611,Treasury,0.001869517
B 0 11/13/25,TREASURY BILL,57034.39101,99.2937338,4.056574637,4.056574637,0.174047285,-2.228785295,Treasury,0.001903323
B 0 11/18/25,TREASURY BILL,24644.82539,99.24454448,4.026669915,4.026669915,0.187539019,-3.947627709,Treasury,0.00207713
B 0 11/20/25,TREASURY BILL,57034.39101,99.22089616,4.036702237,4.036702237,0.19291582,-2.463744228,Treasury,0.002146772
B 0 11/25/25,TREASURY BILL,24644.82539,99.17926909,3.974286383,3.974286383,0.206445158,-7.726435308,Treasury,0.002327098
B 0 11/28/25,TREASURY BILL,75243.76152,99.13768585,4.018764051,4.018764051,0.214479692,-2.665685779,Treasury,0.00243333
BALL 2 ⅞ 08/15/30,BALL CORP,-19.62747743,91.24980199,4.893422817,4.893422817,4.472977488,126.3612073,Corporate,0.232890465
BALL 3 ⅛ 09/15/31,BALL CORP,-12.06976561,90.74318875,4.921893691,4.921893691,5.268477267,119.5658133,Corporate,0.325495447
BALL 5 ½ 09/15/33,BALL CORP,-11.04875825,101.4182558,5.281837282,5.27562976,6.37992259,135.7474571,Corporate,0.495276057
BALL 6 06/15/29,BALL CORP,-13.89733407,102.5148601,5.252958866,4.98507821,1.884657419,107.4557614,Corporate,0.132861079
BALL 6 ⅞ 03/15/28,BALL CORP,-6.920450418,102.2598072,5.894084805,3.74575494,0.180667546,-35.81607337,Corporate,0.064351085
BALY 5 ⅝ 09/01/29,PREMIER ENTERTAI,-8.87564479,56.88765279,22.63501501,22.63501501,3.111095154,1903.215024,Corporate,0.119618269
BALY 5 ⅞ 09/01/31,PREMIER ENTERTAI,-8.975488197,58.57960991,17.25329151,17.25329151,4.420439898,1351.96853,Corporate,0.244098536
BBDBCN 6 02/15/28,BOMBARDIER INC,-12.41878344,100.4178713,5.810878223,4.98783478,0.552345873,90.27617009,Corporate,0.062077801
BBDBCN 6 ¾ 06/15/33,BOMBARDIER INC,-7.422272064,103.7441168,6.133764801,5.83440613,4.181157184,165.062906,Corporate,0.436570729
BBDBCN 7 06/01/32,BOMBARDIER INC,-11.05657208,104.4074204,6.186490951,5.66724345,2.977202051,147.1870283,Corporate,0.3420696
BBDBCN 7 ¼ 07/01/31,BOMBARDIER INC,-11.13905142,105.5825117,6.09176248,5.59848167,2.743064887,148.396588,Corporate,0.268197948
BBDBCN 7 ½ 02/01/29,BOMBARDIER INC,-9.808095392,104.4825806,6.016114585,5.34648104,0.722850003,94.54314275,Corporate,0.107693327
BBDBCN 8 ¾ 11/15/30,BOMBARDIER INC,-11.71901138,107.8695873,6.912896021,5.40614095,1.511639266,134.1728777,Corporate,0.208817314
BBWI 5 ¼ 02/01/28,L BRANDS INC,-5.518301701,100.7076912,4.930258036,4.930258036,2.212511005,138.6690326,Corporate,0.061394948
BBWI 6 ⅝ 10/01/30,L BRANDS INC,-11.53321583,103.0410507,5.919367269,5.52888441,1.015891229,96.32071635,Corporate,0.212947674
BBWI 7 ½ 06/15/29,L BRANDS INC,-7.13923771,102.7156531,6.667611778,4.61583856,0.077410586,53.39550885,Corporate,0.126417604
BCECN 6 ⅞ 09/15/55,BELL CANADA,-14.13782645,103.1956823,6.628186486,6.09393729,4.047636656,240.5282246,Corporate,0.206201277
BCECN 7 09/15/55,BELL CANADA,-18.66811252,103.193915,6.750206681,6.55277534,6.949484926,250.1618783,Corporate,0.628696051
BCO 4 ⅝ 10/15/27,BRINK'S CO/THE,-8.576982772,99.49656036,4.878232782,4.878232782,1.024933322,91.78592496,Corporate,0.048474185
BCO 6 ½ 06/15/29,BRINK'S CO/THE,-5.736220789,103.1223536,5.565759752,5.26715289,1.806146853,130.9945451,Corporate,0.130710504
BCO 6 ¾ 06/15/32,BRINK'S CO/THE,-5.347265603,104.1849387,5.986244539,5.50050575,3.060314793,130.5926226,Corporate,0.350135867
BCULC 3 ½ 02/15/29,1011778 BC ULC /,-10.81868431,95.6711573,4.885040469,4.885040469,2.853590961,126.7508256,Corporate,0.119522115
BCULC 3 ⅞ 01/15/28,1011778 BC ULC /,-22.67400365,97.92533359,4.822257814,4.822257814,1.828764877,117.417049,Corporate,0.059636532
BCULC 4 10/15/30,1011778 BC ULC /,-41.19191696,94.18279048,5.316956215,5.316956215,4.021774628,159.3732965,Corporate,0.234835928
BCULC 4 ⅜ 01/15/28,1011778 BC ULC /,-11.41514014,98.67281752,4.980717521,4.980717521,1.58071033,121.7413932,Corporate,0.059411261
BCULC 5 ⅝ 09/15/29,1011778 BC ULC /,-7.318087639,101.5519394,5.191424106,5.06296191,2.447339136,124.2735568,Corporate,0.147569597
BCULC 6 ⅛ 06/15/29,1011778 BC ULC /,-17.77125826,102.6855165,5.325212293,5.06773606,1.909162257,115.6216203,Corporate,0.132071994
BDN 3.95 11/15/27,BRANDYWINE OPER,-6.097393462,97.83610785,5.007114453,5.007114453,1.975928001,143.7183848,Corporate,0.052503495
BDN 8 ⅞ 04/12/29,BRANDYWINE OPER,-8.115966693,109.149785,6.000245856,5.94438,2.929245012,238.8950333,Corporate,0.113201713
BECN 6 ¾ 04/30/32,QXO BLDG PRODUCT,-32.81114819,103.8070189,6.043442394,5.79975818,3.804107675,174.9306405,Corporate,0.336250522
BELRON 5 ¾ 10/15/29,BELRON UK FINANC,-15.6710739,101.8113001,5.251295007,5.10827059,2.470326186,127.5145752,Corporate,0.153003749
BFH 8 ⅜ 06/15/35,BREAD FINANCIAL,-5.700624444,103.8592306,7.608797313,7.39433407,3.828700009,377.9430292,Corporate,0.183101446
BFH 9 ¾ 03/15/29,BREAD FINANCIAL,-11.84750551,106.6485735,7.559367685,5.90375193,0.673677407,176.4984625,Corporate,0.104642106
BGS 5 ¼ 09/15/27,B&G FOODS INC,-7.438767931,96.55675105,7.114671107,7.114671107,1.724336018,352.2963018,Corporate,0.043607312
BGS 8 09/15/28,B&G FOODS INC,-11.37346637,98.11886865,8.722328776,8.722328776,2.146918433,495.1719531,Corporate,0.082018205
BHCCN 10 04/15/32,1261229 BC LTD,-64.01264701,103.9071693,9.193026184,8.93983752,3.523645266,483.6735738,Corporate,0.282617044
BHCCN 11 09/30/28,BAUSCH HEALTH,-24.1560271,105.9875321,8.721167341,8.721167341,2.461394652,519.0179213,Corporate,0.080151206
BHCCN 4 ⅞ 06/01/28,BAUSCH HEALTH,-17.44220912,91.21694223,8.551056507,8.551056507,2.423687597,501.28517,Corporate,0.073875472
BHCCN 5 01/30/28,BAUSCH HEALTH,-4.783801506,88.17478381,10.73763789,10.73763789,2.142150158,718.9943122,Corporate,0.057669433
BHCCN 5 02/15/29,BAUSCH HEALTH,-5.313405665,79.63974223,12.47212406,12.47212406,2.963690776,890.2242812,Corporate,0.106544815
BHCCN 5 ¼ 01/30/30,BAUSCH HEALTH,-8.906031914,75.55927101,12.6770359,12.6770359,3.643437258,906.811292,Corporate,0.160613965
BHCCN 5 ¼ 02/15/31,BAUSCH HEALTH,-5.269995488,71.00180337,12.82361035,12.82361035,4.357657211,913.2150329,Corporate,0.229702893
BHCCN 6 ¼ 02/15/29,BAUSCH HEALTH,-8.840916648,82,12.90435927,12.90435927,2.902160124,933.2184923,Corporate,0.103470554
BHCCN 8 ½ 01/31/27,BAUSCH HLTH AMR,-7.72787971,100.0378842,8.458723184,7.95160301,0.457015439,382.7561493,Corporate,0.022785177
BID 7 ⅜ 10/15/27,SOTHEBY'S,-11.10345507,98.53978858,8.143099421,8.143099421,1.256595045,420.3201288,Corporate,0.045513791
BLCOCN 8 ⅜ 10/01/28,BAUSCH + LOMB CO,-20.75787844,104.4002794,6.755740269,4.38109002,0.057151725,32.88934629,Corporate,0.085923983
BLDR 4 ¼ 02/01/32,BUILDERS FIRSTSO,-19.3982717,94.57631848,5.259290746,5.259290746,4.753634328,136.2370836,Corporate,0.351533289
